Node	Degree	R[0]	R[0] Rank	R[200]	Ranking	Network_Id
FBW1B_HUMAN	1.00	0.90	985	0.00013	2014	1
THA11_HUMAN	1.00	0.90	984	0.00013	2013	1
AKT2_HUMAN	4.00	3.61	251	0.00031	250	1
DBNL_HUMAN	1.00	0.90	983	0.00013	2012	1
AKT3_HUMAN	3.00	2.71	354	0.00025	401	1
PRKDC_HUMAN	2.00	1.81	578	0.00021	592	1
GLRX1_HUMAN	2.00	1.81	577	0.00018	746	1
WEE1_HUMAN	1.00	0.90	982	0.00013	2011	1
PTMA_HUMAN	1.00	0.90	981	0.00013	2010	1
MDM2_HUMAN	3.00	2.71	353	0.00028	300	1
NUMA1_HUMAN	1.00	0.90	980	0.00013	2009	1
DSG1_HUMAN	3.00	2.71	352	0.00023	479	1
BMX_HUMAN	3.00	2.71	351	0.00027	338	1
CH10_HUMAN	1.00	0.90	979	0.00013	2008	1
DCC_HUMAN	3.00	2.71	350	0.00025	384	1
DEDD_HUMAN	1.00	0.90	978	0.00013	2007	1
PAK2_HUMAN	4.00	3.61	250	0.00031	245	1
IL16_HUMAN	5.00	4.51	177	0.00032	238	1
LPAR1_HUMAN	1.00	0.90	976	0.00013	2005	1
LPAR3_HUMAN	1.00	0.90	977	0.00013	2006	1
CSEN_HUMAN	1.00	0.90	974	0.00013	2003	1
IF4B_HUMAN	1.00	0.90	975	0.00013	2004	1
RBX2_HUMAN	2.00	1.81	585	0.00019	730	1
LMNB1_HUMAN	1.00	0.90	1006	0.00013	2034	1
HCLS1_HUMAN	1.00	0.90	1008	0.00013	2036	1
SRP72_HUMAN	1.00	0.90	1007	0.00013	2035	1
DYNA_HUMAN	1.00	0.90	1004	0.00013	2032	1
VDP_HUMAN	1.00	0.90	1003	0.00013	2031	1
RB_HUMAN	6.00	5.42	137	0.00044	106	1
PICAL_HUMAN	1.00	0.90	1005	0.00013	2033	1
TRAF1_HUMAN	5.00	4.51	178	0.00037	166	1
STK3_HUMAN	1.00	0.90	1002	0.00013	2030	1
FYN_HUMAN	7.00	6.32	115	0.00048	94	1
STK4_HUMAN	2.00	1.81	584	0.00021	595	1
CTNB1_HUMAN	10.00	9.03	71	0.00065	69	1
SRBP1_HUMAN	1.00	0.90	1000	0.00013	2028	1
LIMK1_HUMAN	2.00	1.81	583	0.00019	727	1
WNK3_HUMAN	1.00	0.90	1001	0.00013	2029	1
NDUS1_HUMAN	1.00	0.90	997	0.00013	2025	1
SPTA2_HUMAN	3.00	2.71	360	0.00026	363	1
NUCB2_HUMAN	1.00	0.90	998	0.00013	2026	1
BEX3_HUMAN	1.00	0.90	999	0.00013	2027	1
MST4_HUMAN	1.00	0.90	994	0.00013	2022	1
M4K1_HUMAN	1.00	0.90	995	0.00013	2023	1
IMB1_HUMAN	6.00	5.42	136	0.00055	83	1
LATS2_HUMAN	1.00	0.90	996	0.00013	2024	1
GAS2_HUMAN	1.00	0.90	993	0.00013	2021	1
LATS1_HUMAN	2.00	1.81	582	0.00020	658	1
DP13A_HUMAN	3.00	2.71	359	0.00025	385	1
SRC_HUMAN	12.00	10.83	58	0.00078	58	1
H2AX_HUMAN	2.00	1.81	580	0.00021	594	1
SAV1_HUMAN	1.00	0.90	991	0.00013	2020	1
ILK_HUMAN	2.00	1.81	581	0.00019	701	1
DESP_HUMAN	1.00	0.90	992	0.00012	2262	1
MP2K2_HUMAN	4.00	3.61	253	0.00026	352	1
ABL1_HUMAN	9.00	8.12	75	0.00065	70	1
GMEB1_HUMAN	1.00	0.90	1035	0.00012	2265	1
BIRC8_HUMAN	1.00	0.90	1036	0.00012	2266	1
MZB1_HUMAN	1.00	0.90	1033	0.00012	2263	1
BCL10_HUMAN	2.00	1.81	591	0.00018	745	1
MP2K1_HUMAN	4.00	3.61	252	0.00028	299	1
IF4G1_HUMAN	1.00	0.90	1034	0.00012	2264	1
DYR1A_HUMAN	1.00	0.90	1041	0.00012	2267	1
BIRC1_HUMAN	1.00	0.90	1042	0.00012	2268	1
CATA_HUMAN	43.00	38.81	31	0.00452	21	1
TBA8_HUMAN	1.00	0.90	1043	0.00015	1073	1
RPC6_HUMAN	1.00	0.90	1037	0.00015	1069	1
E2F4_HUMAN	1.00	0.90	1038	0.00015	1070	1
SUMO4_HUMAN	1.00	0.90	1039	0.00015	1071	1
ECHP_HUMAN	1.00	0.90	1040	0.00015	1072	1
UBP53_HUMAN	1.00	0.90	1046	0.00015	1076	1
PEX5_HUMAN	1.00	0.90	1045	0.00015	1075	1
SODM_HUMAN	6.00	5.42	140	0.00051	88	1
TLR10_HUMAN	1.00	0.90	1047	0.00015	1077	1
PSA1_HUMAN	1.00	0.90	1044	0.00015	1074	1
IMA7_HUMAN	3.00	2.71	361	0.00030	266	1
FOXO3_HUMAN	2.00	1.81	593	0.00023	460	1
ABL2_HUMAN	2.00	1.81	592	0.00023	462	1
SODE_HUMAN	1.00	0.90	1053	0.00015	1083	1
TYSD1_HUMAN	1.00	0.90	1052	0.00015	1082	1
ADH1G_HUMAN	1.00	0.90	1055	0.00015	1085	1
ALDH2_HUMAN	1.00	0.90	1054	0.00015	1084	1
N6AM1_HUMAN	1.00	0.90	1049	0.00015	1079	1
EI2BB_HUMAN	1.00	0.90	1048	0.00015	1078	1
ANMX_HUMAN	1.00	0.90	1051	0.00015	1081	1
HEMK_HUMAN	1.00	0.90	1050	0.00015	1080	1
PTN11_HUMAN	6.00	5.42	138	0.00043	110	1
GPX4_HUMAN	2.00	1.81	586	0.00020	663	1
GPX5_HUMAN	1.00	0.90	1013	0.00015	1062	1
LCMT1_HUMAN	1.00	0.90	1014	0.00015	1063	1
XDH_HUMAN	1.00	0.90	1011	0.00015	1060	1
KYNU_HUMAN	1.00	0.90	1012	0.00015	1061	1
3HAO_HUMAN	1.00	0.90	1009	0.00015	1058	1
ANM2_HUMAN	1.00	0.90	1010	0.00015	1059	1
ANM4_HUMAN	1.00	0.90	1020	0.00015	1067	1
ANM6_HUMAN	1.00	0.90	1021	0.00015	1068	1
RRMJ1_HUMAN	1.00	0.90	1018	0.00015	1065	1
RRMJ2_HUMAN	1.00	0.90	1019	0.00015	1066	1
WBS22_HUMAN	1.00	0.90	1017	0.00015	1064	1
CCS_HUMAN	6.00	5.42	139	0.00046	98	1
APBA1_HUMAN	1.00	0.90	1015	0.00013	1980	1
PRS23_HUMAN	1.00	0.90	1016	0.00010	2356	1
SL9A4_HUMAN	2.00	1.81	590	0.00014	1581	1
SL9A1_HUMAN	5.00	4.51	179	0.00032	224	1
SL9A2_HUMAN	2.00	1.81	589	0.00014	1580	1
SL9A3_HUMAN	2.00	1.81	588	0.00014	1579	1
KIF1B_HUMAN	1.00	0.90	1024	0.00010	2358	1
ST17B_HUMAN	1.00	0.90	1023	0.00010	2357	1
SL9A5_HUMAN	2.00	1.81	587	0.00014	1578	1
COX42_HUMAN	1.00	0.90	1022	0.00012	2144	1
QCR1_HUMAN	1.00	0.90	1032	0.00012	2152	1
CBPC1_HUMAN	1.00	0.90	1031	0.00012	2151	1
NDOR1_HUMAN	1.00	0.90	1030	0.00012	2150	1
NB5R1_HUMAN	1.00	0.90	1029	0.00012	2149	1
NB5R3_HUMAN	1.00	0.90	1028	0.00012	2148	1
CY1_HUMAN	1.00	0.90	1027	0.00012	2147	1
ZPR1_HUMAN	1.00	0.90	1026	0.00012	2146	1
CYB5_HUMAN	1.00	0.90	1025	0.00012	2145	1
SHC1_HUMAN	4.00	3.61	254	0.00030	261	1
HSP7C_HUMAN	3.00	2.71	366	0.00026	353	1
KC1G2_HUMAN	2.00	1.81	603	0.00021	613	1
VDAC2_HUMAN	1.00	0.90	1074	0.00012	2153	1
NCB5R_HUMAN	1.00	0.90	1075	0.00012	2154	1
UQCR1_HUMAN	1.00	0.90	1076	0.00012	2155	1
ADX_HUMAN	1.00	0.90	1077	0.00012	2156	1
SAFB1_HUMAN	2.00	1.81	604	0.00021	614	1
PP2BB_HUMAN	51.00	46.03	26	0.00264	35	1
MYPT1_HUMAN	1.00	0.90	1078	0.00012	2157	1
CNEP1_HUMAN	1.00	0.90	1079	0.00012	2158	1
DAXX_HUMAN	95.00	85.74	12	0.00818	10	1
CD2A1_HUMAN	2.00	1.81	605	0.00021	521	1
CD2A2_HUMAN	2.00	1.81	606	0.00021	522	1
FRIH_HUMAN	2.00	1.81	607	0.00020	676	1
H33_HUMAN	3.00	2.71	367	0.00028	308	1
H4_HUMAN	1.00	0.90	1080	0.00013	1843	1
RASF1_HUMAN	3.00	2.71	368	0.00027	313	1
TNR6_HUMAN	3.00	2.71	369	0.00025	389	1
UBP7_HUMAN	2.00	1.81	608	0.00021	523	1
H31_HUMAN	1.00	0.90	1082	0.00013	1845	1
TF7L2_HUMAN	1.00	0.90	1081	0.00013	1844	1
AIRE_HUMAN	1.00	0.90	1083	0.00013	1846	1
GCR_HUMAN	2.00	1.81	609	0.00021	524	1
SUMO1_HUMAN	5.00	4.51	181	0.00042	120	1
UBC9_HUMAN	3.00	2.71	370	0.00027	314	1
ETS1_HUMAN	3.00	2.71	371	0.00028	288	1
DNMT1_HUMAN	2.00	1.81	610	0.00021	525	1
STAT3_HUMAN	5.00	4.51	182	0.00042	121	1
SNW1_HUMAN	1.00	0.90	1084	0.00013	1847	1
AXIN1_HUMAN	2.00	1.81	612	0.00021	527	1
P63_HUMAN	2.00	1.81	611	0.00021	526	1
MYH11_HUMAN	1.00	0.90	1057	0.00013	1826	1
TGFR2_HUMAN	1.00	0.90	1058	0.00013	1827	1
HIPK3_HUMAN	2.00	1.81	594	0.00021	515	1
TFE2_HUMAN	1.00	0.90	1056	0.00013	1825	1
CHIP_HUMAN	5.00	4.51	180	0.00041	130	1
SENP2_HUMAN	1.00	0.90	1059	0.00013	1828	1
PLAL1_HUMAN	2.00	1.81	595	0.00021	516	1
SMAD4_HUMAN	2.00	1.81	596	0.00019	731	1
TGFB2_HUMAN	1.00	0.90	1061	0.00013	1830	1
RO52_HUMAN	1.00	0.90	1062	0.00013	1831	1
ITF2_HUMAN	1.00	0.90	1060	0.00013	1829	1
GTR4_HUMAN	2.00	1.81	597	0.00021	596	1
PAX5_HUMAN	1.00	0.90	1064	0.00013	1833	1
HGFL_HUMAN	1.00	0.90	1065	0.00013	1834	1
TS101_HUMAN	2.00	1.81	598	0.00021	517	1
CAH12_HUMAN	1.00	0.90	1063	0.00013	1832	1
HSF1_HUMAN	1.00	0.90	1067	0.00013	1836	1
HIPK1_HUMAN	2.00	1.81	599	0.00021	518	1
ATRX_HUMAN	1.00	0.90	1066	0.00013	1835	1
UBE2I_HUMAN	3.00	2.71	362	0.00027	312	1
RL13_HUMAN	3.00	2.71	364	0.00027	310	1
HDAC2_HUMAN	3.00	2.71	363	0.00031	252	1
RELB_HUMAN	2.00	1.81	600	0.00021	597	1
DMAP1_HUMAN	1.00	0.90	1068	0.00013	1837	1
HIPK2_HUMAN	3.00	2.71	365	0.00032	227	1
SPOP_HUMAN	1.00	0.90	1070	0.00013	1839	1
BTBD6_HUMAN	1.00	0.90	1069	0.00013	1838	1
PAIRB_HUMAN	2.00	1.81	601	0.00021	519	1
P73_HUMAN	2.00	1.81	602	0.00021	520	1
CENPC_HUMAN	1.00	0.90	1073	0.00013	1842	1
PAX3_HUMAN	1.00	0.90	1072	0.00013	1841	1
DAPK3_HUMAN	1.00	0.90	1071	0.00013	1840	1
DEK_HUMAN	1.00	0.90	1118	0.00013	1855	1
HDAC1_HUMAN	2.00	1.81	618	0.00021	528	1
TRI27_HUMAN	2.00	1.81	620	0.00021	530	1
UBB_HUMAN	2.00	1.81	619	0.00021	529	1
DNM3A_HUMAN	1.00	0.90	1116	0.00013	1853	1
MP2K7_HUMAN	5.00	4.51	183	0.00037	158	1
HABP4_HUMAN	3.00	2.71	373	0.00031	253	1
BUB1B_HUMAN	1.00	0.90	1117	0.00013	1854	1
CYTSB_HUMAN	1.00	0.90	1114	0.00013	1851	1
DBF4A_HUMAN	1.00	0.90	1113	0.00013	1850	1
FZR_HUMAN	2.00	1.81	617	0.00019	709	1
HSPB2_HUMAN	1.00	0.90	1115	0.00013	1852	1
IMA3_HUMAN	3.00	2.71	372	0.00029	280	1
MD2L1_HUMAN	1.00	0.90	1111	0.00013	1848	1
PDCD4_HUMAN	1.00	0.90	1112	0.00013	1849	1
MCRS1_HUMAN	2.00	1.81	616	0.00019	713	1
CBS_HUMAN	1.00	0.90	1126	0.00013	1857	1
NSD3_HUMAN	1.00	0.90	1127	0.00013	1858	1
TGFB1_HUMAN	3.00	2.71	374	0.00028	289	1
MP2K4_HUMAN	6.00	5.42	142	0.00040	135	1
HDAC3_HUMAN	5.00	4.51	184	0.00039	146	1
AVR2A_HUMAN	1.00	0.90	1125	0.00013	1856	1
DERL1_HUMAN	45.00	40.61	29	0.00492	19	1
AMFR_HUMAN	2.00	1.81	623	0.00022	488	1
CFTR_HUMAN	2.00	1.81	621	0.00023	463	1
NGLY1_HUMAN	1.00	0.90	1123	0.00015	1056	1
SELS_HUMAN	1.00	0.90	1124	0.00015	1057	1
SYVN1_HUMAN	2.00	1.81	622	0.00023	446	1
RNF5_HUMAN	1.00	0.90	1119	0.00015	1052	1
SVIP_HUMAN	1.00	0.90	1120	0.00015	1053	1
FAF2_HUMAN	1.00	0.90	1121	0.00015	1054	1
1A03_HUMAN	1.00	0.90	1122	0.00015	1055	1
TRAM1_HUMAN	1.00	0.90	1098	0.00015	1040	1
SE1L1_HUMAN	1.00	0.90	1097	0.00015	1039	1
APOB_HUMAN	2.00	1.81	614	0.00021	536	1
HERP1_HUMAN	1.00	0.90	1096	0.00015	1038	1
OPSD_HUMAN	2.00	1.81	613	0.00022	501	1
UBXN6_HUMAN	1.00	0.90	1095	0.00015	1037	1
UBXN4_HUMAN	1.00	0.90	1094	0.00015	1036	1
ASGR2_HUMAN	1.00	0.90	1093	0.00015	1035	1
TRFM_HUMAN	1.00	0.90	1092	0.00015	1034	1
OTU1_HUMAN	1.00	0.90	1091	0.00015	1033	1
DERL2_HUMAN	1.00	0.90	1090	0.00015	1032	1
CD3D_HUMAN	1.00	0.90	1089	0.00015	1031	1
ERLN2_HUMAN	1.00	0.90	1088	0.00015	1030	1
SNX2_HUMAN	1.00	0.90	1087	0.00015	1029	1
A1AT_HUMAN	1.00	0.90	1086	0.00015	1028	1
CLN6_HUMAN	1.00	0.90	1085	0.00015	1027	1
1A01_HUMAN	1.00	0.90	1109	0.00015	1050	1
1A02_HUMAN	1.00	0.90	1110	0.00015	1051	1
1A26_HUMAN	1.00	0.90	1107	0.00015	1048	1
RN103_HUMAN	1.00	0.90	1108	0.00015	1049	1
V2R_HUMAN	1.00	0.90	1105	0.00015	1046	1
CAC1C_HUMAN	1.00	0.90	1106	0.00015	1047	1
ALBU_HUMAN	4.00	3.61	256	0.00033	207	1
S61A1_HUMAN	1.00	0.90	1104	0.00015	1045	1
PGH2_HUMAN	6.00	5.42	141	0.00048	93	1
SHH_HUMAN	1.00	0.90	1103	0.00015	1044	1
UB2J1_HUMAN	1.00	0.90	1101	0.00015	1042	1
UBP19_HUMAN	1.00	0.90	1102	0.00015	1043	1
ZFN2B_HUMAN	1.00	0.90	1100	0.00015	1041	1
DPP6_HUMAN	2.00	1.81	615	0.00022	498	1
EAA2_HUMAN	4.00	3.61	255	0.00038	152	1
AJUBA_HUMAN	1.00	0.90	1099	0.00014	1611	1
SBP1_HUMAN	1.00	0.90	1144	0.00015	1560	1
GSHR_HUMAN	1.00	0.90	1143	0.00015	1559	1
MK06_HUMAN	1.00	0.90	1146	0.00015	1562	1
GSHB_HUMAN	1.00	0.90	1145	0.00015	1561	1
GSTA1_HUMAN	1.00	0.90	1148	0.00015	1564	1
GSTA2_HUMAN	1.00	0.90	1147	0.00015	1563	1
GSTA3_HUMAN	1.00	0.90	1149	0.00015	1565	1
GSTA4_HUMAN	2.00	1.81	635	0.00021	609	1
GSTM2_HUMAN	1.00	0.90	1139	0.00015	1555	1
GSTP1_HUMAN	3.00	2.71	381	0.00026	360	1
CP2CJ_HUMAN	3.00	2.71	383	0.00024	406	1
CP2J2_HUMAN	3.00	2.71	382	0.00024	405	1
GSTK1_HUMAN	1.00	0.90	1141	0.00015	1557	1
GGT1_HUMAN	1.00	0.90	1140	0.00015	1556	1
GSTM1_HUMAN	2.00	1.81	634	0.00020	659	1
GSTT2_HUMAN	1.00	0.90	1142	0.00015	1558	1
GSTM3_HUMAN	1.00	0.90	1155	0.00015	1571	1
GSTO1_HUMAN	1.00	0.90	1156	0.00015	1572	1
IL6_HUMAN	5.00	4.51	186	0.00041	132	1
LOX5_HUMAN	1.00	0.90	1157	0.00015	1573	1
MGST1_HUMAN	1.00	0.90	1158	0.00015	1574	1
GGT7_HUMAN	1.00	0.90	1159	0.00015	1575	1
GGT5_HUMAN	1.00	0.90	1160	0.00015	1576	1
GGT6_HUMAN	1.00	0.90	1161	0.00015	1577	1
MAAI_HUMAN	1.00	0.90	1150	0.00015	1566	1
GSTM5_HUMAN	1.00	0.90	1151	0.00015	1567	1
MGST2_HUMAN	1.00	0.90	1152	0.00015	1568	1
GSTM4_HUMAN	2.00	1.81	636	0.00023	472	1
CP2C9_HUMAN	4.00	3.61	259	0.00029	270	1
MGST3_HUMAN	1.00	0.90	1153	0.00015	1569	1
GSTO2_HUMAN	1.00	0.90	1154	0.00015	1570	1
CP2C8_HUMAN	4.00	3.61	260	0.00029	271	1
CP2CI_HUMAN	4.00	3.61	258	0.00029	269	1
LX15B_HUMAN	1.00	0.90	1130	0.00015	1554	1
GSTA5_HUMAN	1.00	0.90	1129	0.00015	1553	1
GRIA1_HUMAN	30.00	27.07	45	0.00209	41	1
GRIP1_HUMAN	2.00	1.81	630	0.00018	751	1
KCC2G_HUMAN	2.00	1.81	629	0.00017	822	1
TRPC1_HUMAN	2.00	1.81	628	0.00018	770	1
GRIA4_HUMAN	2.00	1.81	627	0.00018	750	1
GRIK2_HUMAN	1.00	0.90	1128	0.00012	2233	1
TANC1_HUMAN	2.00	1.81	624	0.00017	821	1
GRIA2_HUMAN	27.00	24.37	49	0.00203	43	1
DLG1_HUMAN	4.00	3.61	257	0.00027	341	1
CXCR2_HUMAN	2.00	1.81	626	0.00020	679	1
CCG2_HUMAN	3.00	2.71	376	0.00023	458	1
GRID2_HUMAN	2.00	1.81	625	0.00018	749	1
SDCB1_HUMAN	3.00	2.71	375	0.00026	366	1
PICK1_HUMAN	2.00	1.81	632	0.00018	752	1
E41L2_HUMAN	1.00	0.90	1137	0.00012	2234	1
CALX_HUMAN	3.00	2.71	378	0.00023	466	1
HOME1_HUMAN	3.00	2.71	379	0.00022	496	1
E41L1_HUMAN	1.00	0.90	1138	0.00012	2235	1
GRP78_HUMAN	3.00	2.71	380	0.00027	323	1
MYO5A_HUMAN	5.00	4.51	185	0.00041	125	1
RB11A_HUMAN	2.00	1.81	633	0.00018	753	1
DRD2_HUMAN	2.00	1.81	631	0.00017	802	1
GRIP2_HUMAN	1.00	0.90	1133	0.00012	2052	1
GRIA3_HUMAN	1.00	0.90	1131	0.00012	2050	1
REST_HUMAN	1.00	0.90	1132	0.00012	2051	1
NSF_HUMAN	3.00	2.71	377	0.00022	483	1
SPTB2_HUMAN	1.00	0.90	1136	0.00012	2055	1
ATAD1_HUMAN	1.00	0.90	1134	0.00012	2053	1
CCG8_HUMAN	1.00	0.90	1135	0.00012	2054	1
DLG4_HUMAN	7.00	6.32	118	0.00044	107	1
CADH2_HUMAN	8.00	7.22	94	0.00051	90	1
RGS3_HUMAN	3.00	2.71	391	0.00022	486	1
CTNA1_HUMAN	2.00	1.81	649	0.00020	666	1
CTND1_HUMAN	1.00	0.90	1178	0.00012	2056	1
DAB2P_HUMAN	3.00	2.71	390	0.00026	364	1
DUS19_HUMAN	1.00	0.90	1177	0.00012	2247	1
SOCS1_HUMAN	2.00	1.81	648	0.00020	653	1
ZN622_HUMAN	1.00	0.90	1181	0.00012	2250	1
GEMI5_HUMAN	2.00	1.81	650	0.00021	562	1
AAPK2_HUMAN	1.00	0.90	1180	0.00012	2249	1
IGF1R_HUMAN	3.00	2.71	395	0.00027	342	1
AAKB2_HUMAN	1.00	0.90	1179	0.00012	2248	1
THIO_HUMAN	3.00	2.71	394	0.00026	365	1
PPP5_HUMAN	3.00	2.71	392	0.00022	497	1
GA45B_HUMAN	3.00	2.71	393	0.00022	499	1
USP9X_HUMAN	1.00	0.90	1174	0.00012	2244	1
MP2K6_HUMAN	60.00	54.15	20	0.00380	26	1
TNNT2_HUMAN	1.00	0.90	1173	0.00012	2243	1
M3K3_HUMAN	5.00	4.51	188	0.00037	165	1
ARRB2_HUMAN	3.00	2.71	389	0.00025	383	1
PDCD6_HUMAN	1.00	0.90	1172	0.00012	2242	1
PRS4_HUMAN	1.00	0.90	1171	0.00012	2241	1
TPD53_HUMAN	1.00	0.90	1170	0.00012	2240	1
TRAF6_HUMAN	9.00	8.12	76	0.00061	76	1
TRAF5_HUMAN	1.00	0.90	1176	0.00012	2246	1
TNAP3_HUMAN	4.00	3.61	265	0.00032	222	1
SOCS3_HUMAN	5.00	4.51	189	0.00034	199	1
M3K2_HUMAN	1.00	0.90	1175	0.00012	2245	1
KMT2A_HUMAN	2.00	1.81	647	0.00020	652	1
RBCC1_HUMAN	2.00	1.81	646	0.00020	651	1
GNA12_HUMAN	2.00	1.81	645	0.00019	699	1
PRS7_HUMAN	1.00	0.90	1165	0.00012	2236	1
MPIP1_HUMAN	2.00	1.81	643	0.00018	757	1
KCC2B_HUMAN	8.00	7.22	93	0.00047	95	1
JAK2_HUMAN	2.00	1.81	644	0.00018	771	1
MP2K3_HUMAN	54.00	48.74	24	0.00324	29	1
M3K7_HUMAN	7.00	6.32	117	0.00045	101	1
SYQ_HUMAN	2.00	1.81	642	0.00021	561	1
ARRB1_HUMAN	4.00	3.61	262	0.00031	254	1
M3K6_HUMAN	1.00	0.90	1168	0.00012	2238	1
P85A_HUMAN	4.00	3.61	263	0.00033	213	1
GNA13_HUMAN	1.00	0.90	1169	0.00012	2239	1
MBP_HUMAN	4.00	3.61	264	0.00028	283	1
ERF3A_HUMAN	1.00	0.90	1166	0.00012	2237	1
MAPK5_HUMAN	5.00	4.51	187	0.00036	168	1
ESR2_HUMAN	1.00	0.90	1167	0.00012	2282	1
MAPK3_HUMAN	6.00	5.42	144	0.00038	153	1
CI078_HUMAN	1.00	0.90	1164	0.00012	2281	1
RPC4_HUMAN	1.00	0.90	1163	0.00012	2280	1
DUS16_HUMAN	2.00	1.81	638	0.00018	773	1
ATF2_HUMAN	4.00	3.61	261	0.00029	272	1
CPNE6_HUMAN	2.00	1.81	637	0.00021	585	1
SK2L2_HUMAN	1.00	0.90	1162	0.00012	2279	1
DUS1_HUMAN	3.00	2.71	385	0.00023	474	1
IL2_HUMAN	3.00	2.71	384	0.00024	410	1
ZNHI1_HUMAN	3.00	2.71	387	0.00026	368	1
ATF6A_HUMAN	3.00	2.71	386	0.00023	440	1
K2C8_HUMAN	2.00	1.81	641	0.00018	776	1
PRGC1_HUMAN	3.00	2.71	388	0.00026	369	1
TAB2_HUMAN	6.00	5.42	143	0.00040	140	1
FOS_HUMAN	7.00	6.32	116	0.00047	96	1
USF1_HUMAN	2.00	1.81	640	0.00018	775	1
M3K12_HUMAN	2.00	1.81	639	0.00018	774	1
CCM2_HUMAN	4.00	3.61	270	0.00030	263	1
TY3H_HUMAN	2.00	1.81	664	0.00018	787	1
IF4E_HUMAN	2.00	1.81	663	0.00018	786	1
LCK_HUMAN	3.00	2.71	408	0.00025	398	1
FGR_HUMAN	3.00	2.71	411	0.00024	407	1
MAPK2_HUMAN	4.00	3.61	271	0.00028	296	1
RALA_HUMAN	3.00	2.71	409	0.00023	480	1
GDIA_HUMAN	3.00	2.71	410	0.00025	386	1
RALB_HUMAN	2.00	1.81	666	0.00018	789	1
TSC2_HUMAN	4.00	3.61	272	0.00034	202	1
IL2RA_HUMAN	2.00	1.81	665	0.00018	788	1
M3K1_HUMAN	7.00	6.32	119	0.00049	92	1
NOX3_HUMAN	4.00	3.61	273	0.00028	297	1
CD40L_HUMAN	3.00	2.71	412	0.00026	370	1
CY24A_HUMAN	5.00	4.51	197	0.00035	190	1
CY24B_HUMAN	5.00	4.51	198	0.00035	191	1
ETV1_HUMAN	2.00	1.81	659	0.00018	782	1
GBG2_HUMAN	3.00	2.71	404	0.00025	396	1
IL2RB_HUMAN	2.00	1.81	658	0.00018	781	1
MITF_HUMAN	2.00	1.81	657	0.00018	780	1
NCF2_HUMAN	5.00	4.51	196	0.00035	189	1
NCF4_HUMAN	5.00	4.51	195	0.00035	188	1
NOX1_HUMAN	5.00	4.51	194	0.00035	187	1
YES_HUMAN	3.00	2.71	405	0.00025	397	1
ELK1_HUMAN	3.00	2.71	406	0.00022	482	1
ELK4_HUMAN	2.00	1.81	661	0.00018	784	1
ZAP70_HUMAN	4.00	3.61	269	0.00028	295	1
MKNK1_HUMAN	2.00	1.81	660	0.00018	783	1
PDX1_HUMAN	1.00	0.90	1190	0.00012	2284	1
MYOG_HUMAN	3.00	2.71	407	0.00023	478	1
HBP1_HUMAN	2.00	1.81	662	0.00018	785	1
K2C1_HUMAN	1.00	0.90	1189	0.00012	2283	1
MYF6_HUMAN	3.00	2.71	398	0.00023	475	1
DUS10_HUMAN	2.00	1.81	653	0.00018	777	1
ESR1_HUMAN	6.00	5.42	146	0.00046	100	1
MYOD1_HUMAN	3.00	2.71	399	0.00023	476	1
DUS6_HUMAN	4.00	3.61	267	0.00028	293	1
JIP4_HUMAN	5.00	4.51	192	0.00033	219	1
CDON_HUMAN	2.00	1.81	654	0.00018	778	1
MYF5_HUMAN	3.00	2.71	400	0.00023	477	1
TNR5_HUMAN	3.00	2.71	401	0.00024	411	1
PRGR_HUMAN	4.00	3.61	268	0.00028	294	1
TAB1_HUMAN	5.00	4.51	193	0.00033	204	1
JAK1_HUMAN	3.00	2.71	402	0.00023	441	1
FUBP2_HUMAN	3.00	2.71	403	0.00027	326	1
HCK_HUMAN	2.00	1.81	655	0.00018	779	1
MK12_HUMAN	43.00	38.81	32	0.00267	34	1
SNTA1_HUMAN	2.00	1.81	656	0.00018	736	1
3BP5_HUMAN	1.00	0.90	1182	0.00011	2306	1
LAP2_HUMAN	3.00	2.71	396	0.00021	582	1
CCND1_HUMAN	5.00	4.51	190	0.00040	138	1
DLG2_HUMAN	6.00	5.42	145	0.00038	151	1
DLG3_HUMAN	5.00	4.51	191	0.00031	251	1
SNTB1_HUMAN	1.00	0.90	1183	0.00011	2307	1
GRB2_HUMAN	4.00	3.61	266	0.00028	284	1
GCH1_HUMAN	1.00	0.90	1184	0.00011	2308	1
GTF2I_HUMAN	1.00	0.90	1185	0.00011	2309	1
MPIP3_HUMAN	3.00	2.71	397	0.00026	381	1
MK13_HUMAN	31.00	27.98	42	0.00199	44	1
AKIP1_HUMAN	1.00	0.90	1186	0.00012	2285	1
EF2K_HUMAN	2.00	1.81	651	0.00018	790	1
STMN1_HUMAN	1.00	0.90	1187	0.00012	2286	1
JIP2_HUMAN	2.00	1.81	652	0.00016	824	1
FPR1_HUMAN	1.00	0.90	1188	0.00012	2287	1
M3K4_HUMAN	4.00	3.61	274	0.00029	279	1
KAT2B_HUMAN	2.00	1.81	682	0.00021	603	1
NCOA3_HUMAN	3.00	2.71	418	0.00027	309	1
RHG09_HUMAN	2.00	1.81	681	0.00020	668	1
SP20H_HUMAN	1.00	0.90	1231	0.00012	2097	1
STAT4_HUMAN	2.00	1.81	680	0.00018	791	1
FUBP1_HUMAN	2.00	1.81	679	0.00022	508	1
MKNK2_HUMAN	1.00	0.90	1230	0.00012	2096	1
PTPRR_HUMAN	1.00	0.90	1229	0.00012	2095	1
SMAD3_HUMAN	2.00	1.81	678	0.00021	602	1
